Workload,Method,Peak Aging,Latency Cycles,Energy (pJ),TTF (Yrs)
ResNet-50,Initial,0.44991782307624817,67587072.0,3316974827.2959995,0.08110902061375236
ResNet-50,NSGA-II,0.1409117728471756,7784461.633555456,3330813983.4417286,0.12482508219017269
ResNet-50,PPO,0.2067088633775711,21046651.270269636,3327090089.447017,0.12482809403771163
BERT-Base,Initial,0.36784693598747253,679477248.0,14109024690.464,0.08110902061375236
BERT-Base,NSGA-II,0.06030019372701645,77689936.83680001,14178251480.854149,0.12483189627121571
BERT-Base,PPO,0.19114521145820618,163200563.6512,14152165659.48018,0.12482961719331406
MobileNetV2,Initial,0.4281598925590515,38836224.0,1970574592.0320003,0.08110902061375236
MobileNetV2,NSGA-II,0.2243012934923172,20430370.376705233,1984785435.8600938,0.12481184553533153
MobileNetV2,PPO,0.24293382465839386,19877123.68030465,1980708580.1022959,0.12482204758796225
EfficientNet-B4,Initial,0.42588356137275696,439130412.0,8982908993.040998,0.08110902061375236
EfficientNet-B4,NSGA-II,0.23367267847061157,158777190.44432548,9016447239.82148,0.1247980164572831
EfficientNet-B4,PPO,0.24564889073371887,155370655.37007117,9002115421.822817,0.12480685389294262
ViT-B/16,Initial,0.37273743748664856,268664832.0,9325115386.975998,0.08110902061375236
ViT-B/16,NSGA-II,0.1597743034362793,70356601.8033023,9343673340.401377,0.12482314690103757
ViT-B/16,PPO,0.2016817331314087,71662433.6718255,9364383331.062445,0.12482481880701332
